epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2613.96,1.455,0.88976,1.159,0.1965,0.56897,0.20069,0.1411,1.78676,7.43296,3.09616,0.000772787,0.000772787,0.000772787
81,2643.91,1.44625,0.87241,1.15818,0.19996,0.57155,0.16964,0.11846,1.73941,7.36538,2.98739,0.000755582,0.000755582,0.000755582
82,2672.53,1.45261,0.86582,1.17563,0.21646,0.5681,0.16438,0.11296,1.7926,7.57667,3.00648,0.000738414,0.000738414,0.000738414
83,2701.33,1.42151,0.86857,1.14698,0.22285,0.56552,0.21956,0.16349,1.73586,7.51008,2.93221,0.000721292,0.000721292,0.000721292
84,2730.48,1.4141,0.8562,1.14586,0.24321,0.57155,0.27166,0.20534,1.74528,7.64802,2.93405,0.000704223,0.000704223,0.000704223
85,2759.15,1.41833,0.85051,1.13105,0.21134,0.56983,0.24096,0.18946,1.69978,7.94435,2.89322,0.000687214,0.000687214,0.000687214
86,2787.93,1.40298,0.8594,1.13714,0.195,0.5819,0.1993,0.13979,1.73303,7.68549,2.8665,0.000670274,0.000670274,0.000670274
87,2816.3,1.40734,0.86702,1.13954,0.22595,0.57414,0.23417,0.16864,1.71881,7.60181,2.85369,0.000653408,0.000653408,0.000653408
88,2845.1,1.40179,0.85084,1.13571,0.25479,0.56466,0.26825,0.1998,1.72243,7.57563,2.9516,0.000636625,0.000636625,0.000636625
89,2875.58,1.38446,0.82511,1.12499,0.2462,0.56552,0.2024,0.14078,1.83811,7.99294,3.14599,0.000619932,0.000619932,0.000619932
90,2907.13,1.40394,0.85562,1.1568,0.21511,0.57586,0.19043,0.12993,1.78585,7.2191,3.01648,0.000603336,0.000603336,0.000603336
91,2938.25,1.36483,0.8204,1.12605,0.19538,0.58879,0.19332,0.13256,1.79535,7.91036,3.07557,0.000586845,0.000586845,0.000586845
92,2969.62,1.38586,0.82501,1.12136,0.19246,0.575,0.20443,0.14943,1.81399,7.66106,3.11499,0.000570466,0.000570466,0.000570466
93,3000.6,1.3864,0.81228,1.12226,0.23656,0.56897,0.25765,0.19118,1.74245,7.52548,2.96797,0.000554206,0.000554206,0.000554206
94,3031.27,1.36323,0.8164,1.12049,0.22715,0.57595,0.25748,0.18503,1.74622,7.62216,3.03046,0.000538072,0.000538072,0.000538072
95,3061.99,1.36423,0.832,1.12924,0.21854,0.57931,0.20646,0.14725,1.76713,7.69037,3.08845,0.000522071,0.000522071,0.000522071
96,3092.82,1.36113,0.78951,1.10681,0.19565,0.58534,0.21172,0.15546,1.80224,8.16791,3.10135,0.00050621,0.00050621,0.00050621
97,3123.65,1.36906,0.81615,1.11679,0.25174,0.56724,0.21276,0.15175,1.71763,7.53001,2.94198,0.000490497,0.000490497,0.000490497
98,3155.39,1.33683,0.80718,1.11508,0.22371,0.57155,0.19555,0.14074,1.69589,7.54327,2.85708,0.000474938,0.000474938,0.000474938
99,3187.07,1.33943,0.79566,1.1,0.216,0.57069,0.17676,0.12558,1.67325,7.79717,2.86538,0.000459539,0.000459539,0.000459539
100,3218.88,1.32715,0.78802,1.09907,0.21879,0.57328,0.21913,0.15713,1.71896,7.5886,3.01299,0.000444309,0.000444309,0.000444309
101,3250.26,1.34843,0.80088,1.11174,0.21087,0.57241,0.19248,0.13818,1.68766,7.53004,2.94375,0.000429252,0.000429252,0.000429252
102,3281.29,1.32804,0.80297,1.10061,0.21199,0.56638,0.17765,0.12473,1.7104,7.77028,2.96985,0.000414377,0.000414377,0.000414377
103,3312.5,1.3081,0.78716,1.08554,0.21774,0.57759,0.22128,0.15823,1.74174,7.33968,2.94242,0.000399689,0.000399689,0.000399689
104,3343.99,1.33415,0.79534,1.10724,0.22254,0.57328,0.2309,0.16533,1.78984,7.83354,3.09545,0.000385196,0.000385196,0.000385196
105,3375.39,1.30603,0.76748,1.08743,0.2086,0.575,0.26988,0.19717,1.81546,7.80121,3.142,0.000370902,0.000370902,0.000370902
106,3406.54,1.30622,0.76554,1.08169,0.21763,0.57155,0.22155,0.16473,1.77945,7.87681,3.06611,0.000356815,0.000356815,0.000356815
107,3439.16,1.29919,0.77102,1.08744,0.22842,0.57241,0.20099,0.14238,1.72904,7.97226,2.9485,0.000342941,0.000342941,0.000342941
