epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2427.49,0.4402,1.18398,0.37654,0.8987,0.99156,0.98106,0.99404,0.949,0.72156,0.71154,0.66649,0.61295,0.33988,1.04666,0.26408,0.85369,0.000611698,0.000611698,0.000611698
54,2473.49,0.43451,1.18738,0.35969,0.89963,0.97044,0.97404,0.99147,0.94263,0.70039,0.70378,0.65531,0.60362,0.35239,1.07989,0.29114,0.8563,0.000604004,0.000604004,0.000604004
55,2519.92,0.43835,1.20219,0.35751,0.89849,0.9893,0.98862,0.99428,0.94786,0.69043,0.69075,0.63088,0.58868,0.33657,1.06032,0.24884,0.85397,0.000596229,0.000596229,0.000596229
56,2565.23,0.45585,1.21825,0.3657,0.9076,0.98942,0.98934,0.994,0.94116,0.73362,0.73491,0.66361,0.60718,0.36274,1.08558,0.26072,0.85609,0.000588377,0.000588377,0.000588377
57,2611.46,0.45324,1.19335,0.35443,0.90256,0.99186,0.9908,0.99348,0.94485,0.74064,0.74115,0.68421,0.62585,0.35475,1.09011,0.25529,0.85722,0.000580451,0.000580451,0.000580451
58,2657.47,0.42945,1.16851,0.3393,0.89846,0.98774,0.99241,0.99405,0.95165,0.72442,0.72604,0.66341,0.61684,0.32999,1.05538,0.25111,0.84684,0.000572456,0.000572456,0.000572456
59,2704.02,0.43378,1.18989,0.34018,0.89453,0.98143,0.98611,0.99076,0.94171,0.73626,0.74383,0.69746,0.63591,0.34309,1.08909,0.26732,0.84852,0.000564393,0.000564393,0.000564393
60,2749.85,0.4304,1.16756,0.33924,0.89198,0.97377,0.98746,0.99349,0.94795,0.71169,0.72867,0.66794,0.61631,0.33084,1.05103,0.26714,0.84947,0.000556268,0.000556268,0.000556268
61,2794.94,0.42648,1.16218,0.35943,0.89289,0.98369,0.98715,0.99236,0.95166,0.72043,0.72356,0.6753,0.62568,0.31872,1.05587,0.25191,0.84407,0.000548084,0.000548084,0.000548084
62,2840.22,0.42451,1.16973,0.33983,0.8946,0.99038,0.99133,0.99386,0.95163,0.72711,0.7288,0.66197,0.62027,0.32295,1.04298,0.24366,0.84356,0.000539843,0.000539843,0.000539843
63,2886.8,0.418,1.16089,0.33507,0.89345,0.98794,0.98692,0.99295,0.95159,0.72555,0.72403,0.6725,0.62627,0.31877,1.0664,0.25227,0.84813,0.00053155,0.00053155,0.00053155
64,2934.14,0.42691,1.17219,0.33705,0.90193,0.98656,0.98985,0.9944,0.94718,0.70891,0.71043,0.65395,0.61169,0.3351,1.05776,0.24229,0.8481,0.000523209,0.000523209,0.000523209
65,2981.01,0.43327,1.18914,0.34512,0.89656,0.98272,0.98476,0.99369,0.95425,0.7244,0.72938,0.67724,0.63421,0.31636,1.04896,0.24955,0.84132,0.000514822,0.000514822,0.000514822
66,3028.63,0.42383,1.15022,0.3425,0.89557,0.9944,0.98881,0.99407,0.95198,0.72724,0.72306,0.67763,0.63026,0.32675,1.0553,0.242,0.84659,0.000506394,0.000506394,0.000506394
67,3075.04,0.42164,1.18908,0.3338,0.88871,0.98723,0.99365,0.99416,0.95093,0.73119,0.73701,0.67211,0.62354,0.33561,1.0645,0.23588,0.84533,0.000497929,0.000497929,0.000497929
68,3120.08,0.41582,1.15875,0.3279,0.89021,0.97996,0.97993,0.99256,0.95509,0.7048,0.70516,0.66143,0.6191,0.30612,1.04581,0.2504,0.83523,0.00048943,0.00048943,0.00048943
